GEOG,POP_25OV,HS,BACH,MEDINC,VACperc,PopOv25wBach,PopOv25wHS,Community Area
Albany Park,34545,26212,10482,51968.84984,0.004454222,0.303430308,0.758778405,14
Archer Heights,7944,5407,888,43393.53612,0.025772852,0.111782477,0.680639476,57
Armour Square,10115,6636,2150,24336.46113,0.023159421,0.21255561,0.656055363,34
Ashburn,26767,22201,5359,63573.16227,0.013211711,0.200209213,0.829416819,70
Auburn Gresham,30659,25304,4273,29388.71473,0.050595911,0.139371799,0.825336769,71
Austin,61770,47647,7685,31634.30042,0.03890882,0.124413146,0.771361502,25
Avalon Park,7046,6238,1556,41351.35135,0.030787392,0.220834516,0.885325007,45
Avondale,26009,18795,6888,44663.32378,0.011752772,0.264831405,0.722634473,21
Belmont Cragin,47993,30130,5864,43533.84842,0.003336457,0.122184485,0.627799887,19
Beverly,14237,13749,7902,90765.76577,0.00517878,0.555032661,0.965723116,72
Bridgeport,23593,18631,5819,43056.49241,0.056633068,0.246640953,0.789683381,60
Brighton Park,25686,14305,2245,36077.44108,0.032222292,0.087401697,0.556918166,58
Burnside,1680,1323,143,23632.07547,0.080539564,0.085119048,0.7875,47
Calumet Heights,10353,9160,2841,49922.94521,0.063002524,0.274413214,0.8847677,48
Chatham,21854,18894,4895,32221.74658,0.038734254,0.223986456,0.864555688,44
Chicago Lawn,31956,22118,2733,33121.70475,0.023442663,0.085523845,0.692139191,66
Clearing,16941,14212,2897,60623.91681,0.009517199,0.171005254,0.838911516,64
Douglas,13384,11560,5422,29184.78261,0.115844977,0.40511058,0.863717872,35
Dunning,30942,26769,7306,59737.31884,0.015352435,0.236119191,0.865134768,17
East Garfield Park,11805,9258,1500,21481.92771,0.136872346,0.127064803,0.784243964,27
East Side,13800,9685,1699,43421.05263,0.068175072,0.123115942,0.701811594,52
Edgewater,42621,38951,23300,46173.66412,0.007403945,0.546678867,0.913892213,77
Edison Park,8351,7915,3870,86299.72565,0.001054205,0.463417555,0.947790684,9
Englewood,15575,11569,972,19853.7844,0.215188158,0.062407705,0.742792937,68
Forest Glen,12709,12016,7441,101558.6035,0.003404058,0.585490597,0.945471713,12
Fuller Park,1775,1337,205,20092.59259,0.115197397,0.115492958,0.753239437,37
Gage Park,23261,12910,1355,38582.31707,0.015087651,0.05825201,0.555006234,63
Garfield Ridge,24333,19754,5150,60851.41903,0.015452817,0.211646735,0.81181934,56
Grand Boulevard,14539,12218,3940,30260.20408,0.201758491,0.270995254,0.84036041,38
Greater Grand Crossing,20423,17386,3150,26515.05236,0.061569457,0.154237869,0.851295108,69
Hegewisch,6330,5533,1224,50337.83784,0.127414316,0.193364929,0.874091627,55
Hermosa,15446,8927,1721,39156.92008,0.003424262,0.111420432,0.577948984,20
Humboldt Park,32114,22183,4092,32073.02474,0.066845937,0.127421062,0.690757925,23
