GEOG,HS,BACH,MEDINC,VACperc,Community Area
Albany Park,26212,10482,51968.84984,0.004454222,14
Archer Heights,5407,888,43393.53612,0.025772852,57
Armour Square,6636,2150,24336.46113,0.023159421,34
Ashburn,22201,5359,63573.16227,0.013211711,70
Auburn Gresham,25304,4273,29388.71473,0.050595911,71
Austin,47647,7685,31634.30042,0.03890882,25
Avalon Park,6238,1556,41351.35135,0.030787392,45
Avondale,18795,6888,44663.32378,0.011752772,21
Belmont Cragin,30130,5864,43533.84842,0.003336457,19
Beverly,13749,7902,90765.76577,0.00517878,72
Bridgeport,18631,5819,43056.49241,0.056633068,60
Brighton Park,14305,2245,36077.44108,0.032222292,58
Burnside,1323,143,23632.07547,0.080539564,47
Calumet Heights,9160,2841,49922.94521,0.063002524,48
Chatham,18894,4895,32221.74658,0.038734254,44
Chicago Lawn,22118,2733,33121.70475,0.023442663,66
Clearing,14212,2897,60623.91681,0.009517199,64
Douglas,11560,5422,29184.78261,0.115844977,35
Dunning,26769,7306,59737.31884,0.015352435,17
East Garfield Park,9258,1500,21481.92771,0.136872346,27
East Side,9685,1699,43421.05263,0.068175072,52
Edgewater,38951,23300,46173.66412,0.007403945,77
Edison Park,7915,3870,86299.72565,0.001054205,9
Englewood,11569,972,19853.7844,0.215188158,68
Forest Glen,12016,7441,101558.6035,0.003404058,12
Fuller Park,1337,205,20092.59259,0.115197397,37
Gage Park,12910,1355,38582.31707,0.015087651,63
Garfield Ridge,19754,5150,60851.41903,0.015452817,56
Grand Boulevard,12218,3940,30260.20408,0.201758491,38
Greater Grand Crossing,17386,3150,26515.05236,0.061569457,69
Hegewisch,5533,1224,50337.83784,0.127414316,55
Hermosa,8927,1721,39156.92008,0.003424262,20
Humboldt Park,22183,4092,32073.02474,0.066845937,23
Hyde Park,16398,12386,51231.9538,0.004407,41
Irving Park,31434,13825,51996.77072,0.005676669,16
Jefferson Park,17177,6085,60471.7484,0.005038411,11
Kenwood,11555,6843,39157.6087,0.030673695,39
Lake View,72892,58630,76854.22491,0.005172184,6
Lincoln Park,45612,38835,94087.1645,0.013707608,7
Lincoln Square,28766,18676,62933.97626,0.008872271,4
Logan Square,44558,24291,59216.40091,0.015697633,22
Lower West Side,14264,5075,36089.74359,0.038583413,31
McKinley Park,7113,2023,43827.7512,0.045995361,59
Montclare,6618,1316,43014.98127,0.007162476,18
Morgan Park,14224,5023,60747.01195,0.027012585,75
Mount Greenwood,11451,4274,89535.74975,0.001684261,74
Near North Side,69676,56374,84975.8029,0.034271055,8
Near South Side,16245,12206,78290.0165,0.073322884,33
Near West Side,37942,27244,72143.14845,0.056406379,28
New City,15647,1794,30420.91837,0.099342446,61
North Center,23859,17419,92663.61257,0.006447162,5
North Lawndale,14403,2134,22383.48531,0.144766948,29
North Park,11349,5831,51818.18182,0.005179236,13
Norwood Park,24911,9524,71282.05128,0.00486901,10
O'Hare,8833,3297,46638.41808,0.016387306,76
Oakland,3156,1044,28435.67251,0.10711109,36
Portage Park,37503,11163,57030.70827,0.004225241,15
Pullman,4070,1005,36728.39506,0.155440678,50
Riverdale,2238,151,14845.50562,0.1003405,54
Rogers Park,31167,15502,37223.34004,0.003831977,1
Roseland,23648,5573,37241.97248,0.047977099,49
South Chicago,13325,2766,28503.81679,0.284880238,46
South Deering,7673,1052,35056.02241,0.091752176,51
South Lawndale,20862,2461,30700.55797,0.075782124,30
South Shore,29049,7376,26425.17301,0.043771218,43
The Loop,24408,19569,93254.3823,0.044588046,32
Uptown,40086,24740,45710.64553,0.005521509,3
Washington Heights,16929,3973,44071.26168,0.028291755,73
Washington Park,5093,1067,22084.74576,0.172775191,40
West Elsdon,7821,987,44791.12272,0.01533463,62
West Englewood,15334,1566,27399.3808,0.135948635,67
West Garfield Park,7275,400,23947.36842,0.143702425,26
West Lawn,13321,2187,50384.16764,0.020547618,65
West Pullman,14452,2533,33898.4375,0.095007491,53
West Ridge,40015,19004,46091.23435,0.005105979,2
West Town,57746,40603,75509.48126,0.023015098,24
Woodlawn,11392,3193,23985.55708,0.092221472,42
