Date, Community Area
01/01/2011,29
01/01/2011,73
01/02/2011,52
01/02/2011,53
01/03/2011,49
01/03/2011,46
01/03/2011,42
01/03/2011,71
01/04/2011,24
01/04/2011,42
01/04/2011,75
01/05/2011,53
01/05/2011,25
01/05/2011,67
01/05/2011,2
01/06/2011,51
01/06/2011,64
01/06/2011,46
01/06/2011,29
01/07/2011,61
01/07/2011,40
01/07/2011,40
01/08/2011,66
01/08/2011,38
01/09/2011,25
01/10/2011,39
01/10/2011,53
01/10/2011,69
01/10/2011,63
01/10/2011,46
01/11/2011,42
01/11/2011,49
01/11/2011,24
01/11/2011,61
01/11/2011,52
01/12/2011,25
01/12/2011,52
01/12/2011,68
01/12/2011,67
01/13/2011,45
01/13/2011,43
01/13/2011,51
01/14/2011,46
01/14/2011,49
01/14/2011,49
01/14/2011,56
01/14/2011,43
01/14/2011,23
01/14/2011,16
01/14/2011,23
01/14/2011,26
01/14/2011,43
01/15/2011,61
01/17/2011,25
01/17/2011,69
01/17/2011,25
01/18/2011,23
01/18/2011,49
01/19/2011,71
01/19/2011,70
01/19/2011,40
01/19/2011,14
01/20/2011,61
01/20/2011,66
01/20/2011,66
01/20/2011,66
01/20/2011,66
01/20/2011,26
01/21/2011,49
01/21/2011,43
01/22/2011,71
01/24/2011,42
01/24/2011,40
01/24/2011,53
01/24/2011,29
01/24/2011,66
01/24/2011,44
01/25/2011,67
01/25/2011,42
01/25/2011,23
01/25/2011,43
01/26/2011,28
01/26/2011,61
01/26/2011,67
01/26/2011,67
01/26/2011,28
01/27/2011,67
01/27/2011,53
01/28/2011,43
01/29/2011,4
01/31/2011,54
01/31/2011,23
02/01/2011,61
02/01/2011,45
02/01/2011,29
02/01/2011,45
02/01/2011,26
02/03/2011,53
02/03/2011,49
02/03/2011,46
02/03/2011,46
02/03/2011,46
02/03/2011,49
02/04/2011,49
02/04/2011,67
02/08/2011,56
02/08/2011,71
02/08/2011,44
02/08/2011,53
02/08/2011,53
02/08/2011,61
02/08/2011,48
02/09/2011,25
02/09/2011,53
02/09/2011,39
02/10/2011,42
02/10/2011,69
02/10/2011,67
02/10/2011,66
02/10/2011,43
02/10/2011,19
02/10/2011,26
02/10/2011,38
02/10/2011,26
02/10/2011,25
02/11/2011,46
02/11/2011,30
02/12/2011,69
