Community Area,Reports
67,525
25,466
49,388
68,359
26,327
23,275
53,241
69,233
43,222
46,213
71,209
29,204
61,196
66,188
27,165
42,148
44,142
52,136
73,83
22,65
38,63
75,58
30,58
50,58
51,56
19,55
48,54
45,46
63,45
16,44
58,43
24,39
70,38
15,37
40,37
21,33
28,33
7,28
14,27
47,26
6,26
39,26
17,25
37,21
10,21
56,21
5,21
4,20
31,20
8,19
18,19
55,16
60,14
35,14
11,14
36,13
41,13
74,12
3,11
54,11
9,10
2,10
77,9
20,9
62,9
72,9
13,8
12,7
59,7
65,7
57,6
64,4
1,4
33,3
32,2
34,2
76,0
