Report, Date,Community Area
Vacant/Abandoned Building,1/1/2011,29
Vacant/Abandoned Building,1/1/2011,73
Vacant/Abandoned Building,1/2/2011,52
Vacant/Abandoned Building,1/2/2011,53
Vacant/Abandoned Building,1/3/2011,49
Vacant/Abandoned Building,1/3/2011,46
Vacant/Abandoned Building,1/3/2011,42
Vacant/Abandoned Building,1/3/2011,71
Vacant/Abandoned Building,1/4/2011,24
Vacant/Abandoned Building,1/4/2011,42
Vacant/Abandoned Building,1/4/2011,75
Vacant/Abandoned Building,1/5/2011,53
Vacant/Abandoned Building,1/5/2011,25
Vacant/Abandoned Building,1/5/2011,67
Vacant/Abandoned Building,1/5/2011,2
Vacant/Abandoned Building,1/6/2011,51
Vacant/Abandoned Building,1/6/2011,64
Vacant/Abandoned Building,1/6/2011,46
Vacant/Abandoned Building,1/6/2011,29
Vacant/Abandoned Building,1/7/2011,61
Vacant/Abandoned Building,1/7/2011,40
Vacant/Abandoned Building,1/7/2011,40
Vacant/Abandoned Building,1/8/2011,66
Vacant/Abandoned Building,1/8/2011,38
Vacant/Abandoned Building,1/9/2011,25
Vacant/Abandoned Building,1/10/2011,39
Vacant/Abandoned Building,1/10/2011,53
Vacant/Abandoned Building,1/10/2011,69
Vacant/Abandoned Building,1/10/2011,63
Vacant/Abandoned Building,1/10/2011,46
Vacant/Abandoned Building,1/11/2011,42
Vacant/Abandoned Building,1/11/2011,49
Vacant/Abandoned Building,1/11/2011,24
Vacant/Abandoned Building,1/11/2011,61
Vacant/Abandoned Building,1/11/2011,52
Vacant/Abandoned Building,1/12/2011,25
Vacant/Abandoned Building,1/12/2011,52
Vacant/Abandoned Building,1/12/2011,68
Vacant/Abandoned Building,1/12/2011,67
Vacant/Abandoned Building,1/13/2011,45
Vacant/Abandoned Building,1/13/2011,43
Vacant/Abandoned Building,1/13/2011,51
Vacant/Abandoned Building,1/14/2011,46
Vacant/Abandoned Building,1/14/2011,49
Vacant/Abandoned Building,1/14/2011,49
Vacant/Abandoned Building,1/14/2011,56
Vacant/Abandoned Building,1/14/2011,43
Vacant/Abandoned Building,1/14/2011,23
Vacant/Abandoned Building,1/14/2011,16
Vacant/Abandoned Building,1/14/2011,23
Vacant/Abandoned Building,1/14/2011,26
Vacant/Abandoned Building,1/14/2011,43
Vacant/Abandoned Building,1/15/2011,61
Vacant/Abandoned Building,1/17/2011,25
Vacant/Abandoned Building,1/17/2011,69
Vacant/Abandoned Building,1/17/2011,25
Vacant/Abandoned Building,1/18/2011,23
Vacant/Abandoned Building,1/18/2011,49
Vacant/Abandoned Building,1/19/2011,71
Vacant/Abandoned Building,1/19/2011,70
Vacant/Abandoned Building,1/19/2011,40
Vacant/Abandoned Building,1/19/2011,14
Vacant/Abandoned Building,1/20/2011,61
Vacant/Abandoned Building,1/20/2011,66
Vacant/Abandoned Building,1/20/2011,66
Vacant/Abandoned Building,1/20/2011,66
Vacant/Abandoned Building,1/20/2011,66
Vacant/Abandoned Building,1/20/2011,26
Vacant/Abandoned Building,1/21/2011,49
Vacant/Abandoned Building,1/21/2011,43
Vacant/Abandoned Building,1/22/2011,71
Vacant/Abandoned Building,1/24/2011,42
Vacant/Abandoned Building,1/24/2011,40
Vacant/Abandoned Building,1/24/2011,53
Vacant/Abandoned Building,1/24/2011,29
Vacant/Abandoned Building,1/24/2011,66
Vacant/Abandoned Building,1/24/2011,44
Vacant/Abandoned Building,1/25/2011,67
Vacant/Abandoned Building,1/25/2011,42
Vacant/Abandoned Building,1/25/2011,23
Vacant/Abandoned Building,1/25/2011,43
Vacant/Abandoned Building,1/26/2011,28
Vacant/Abandoned Building,1/26/2011,61
Vacant/Abandoned Building,1/26/2011,67
Vacant/Abandoned Building,1/26/2011,67
Vacant/Abandoned Building,1/26/2011,28
Vacant/Abandoned Building,1/27/2011,67
Vacant/Abandoned Building,1/27/2011,53
Vacant/Abandoned Building,1/28/2011,43
Vacant/Abandoned Building,1/29/2011,4
Vacant/Abandoned Building,1/31/2011,54
Vacant/Abandoned Building,1/31/2011,23
Vacant/Abandoned Building,2/1/2011,61
Vacant/Abandoned Building,2/1/2011,45
Vacant/Abandoned Building,2/1/2011,29
Vacant/Abandoned Building,2/1/2011,45
Vacant/Abandoned Building,2/1/2011,26
Vacant/Abandoned Building,2/3/2011,53
Vacant/Abandoned Building,2/3/2011,49
Vacant/Abandoned Building,2/3/2011,46
Vacant/Abandoned Building,2/3/2011,46
Vacant/Abandoned Building,2/3/2011,46
Vacant/Abandoned Building,2/3/2011,49
Vacant/Abandoned Building,2/4/2011,49
Vacant/Abandoned Building,2/4/2011,67
Vacant/Abandoned Building,2/8/2011,56
Vacant/Abandoned Building,2/8/2011,71
Vacant/Abandoned Building,2/8/2011,44
Vacant/Abandoned Building,2/8/2011,53
Vacant/Abandoned Building,2/8/2011,53
Vacant/Abandoned Building,2/8/2011,61
Vacant/Abandoned Building,2/8/2011,48
Vacant/Abandoned Building,2/9/2011,25
Vacant/Abandoned Building,2/9/2011,53
Vacant/Abandoned Building,2/9/2011,39
Vacant/Abandoned Building,2/10/2011,42
Vacant/Abandoned Building,2/10/2011,69
Vacant/Abandoned Building,2/10/2011,67
Vacant/Abandoned Building,2/10/2011,66
Vacant/Abandoned Building,2/10/2011,43
Vacant/Abandoned Building,2/10/2011,19
Vacant/Abandoned Building,2/10/2011,26
Vacant/Abandoned Building,2/10/2011,38
Vacant/Abandoned Building,2/10/2011,26
Vacant/Abandoned Building,2/10/2011,25
Vacant/Abandoned Building,2/11/2011,46
Vacant/Abandoned Building,2/11/2011,30
Vacant/Abandoned Building,2/12/2011,69
Vacant/Abandoned Building,2/12/2011,43
Vacant/Abandoned Building,2/13/2011,23
Vacant/Abandoned Building,2/13/2011,67
Vacant/Abandoned Building,2/14/2011,69
Vacant/Abandoned Building,2/14/2011,68
Vacant/Abandoned Building,2/15/2011,49
Vacant/Abandoned Building,2/15/2011,29
Vacant/Abandoned Building,2/15/2011,68
Vacant/Abandoned Building,2/15/2011,69
Vacant/Abandoned Building,2/15/2011,42
Vacant/Abandoned Building,2/15/2011,42
Vacant/Abandoned Building,2/15/2011,69
Vacant/Abandoned Building,2/15/2011,69
Vacant/Abandoned Building,2/15/2011,42
