Report,Date,Community Area
Vacant/Abandoned Building,01/01/2011,29
Vacant/Abandoned Building,01/01/2011,73
Vacant/Abandoned Building,01/02/2011,52
Vacant/Abandoned Building,01/02/2011,53
Vacant/Abandoned Building,01/03/2011,42
Vacant/Abandoned Building,01/03/2011,46
Vacant/Abandoned Building,01/03/2011,49
Vacant/Abandoned Building,01/03/2011,71
Vacant/Abandoned Building,01/04/2011,24
Vacant/Abandoned Building,01/04/2011,42
Vacant/Abandoned Building,01/04/2011,75
Vacant/Abandoned Building,01/05/2011,2
Vacant/Abandoned Building,01/05/2011,25
Vacant/Abandoned Building,01/05/2011,53
Vacant/Abandoned Building,01/05/2011,67
Vacant/Abandoned Building,01/06/2011,29
Vacant/Abandoned Building,01/06/2011,46
Vacant/Abandoned Building,01/06/2011,51
Vacant/Abandoned Building,01/06/2011,64
Vacant/Abandoned Building,01/07/2011,40
Vacant/Abandoned Building,01/07/2011,40
Vacant/Abandoned Building,01/07/2011,61
Vacant/Abandoned Building,01/08/2011,38
Vacant/Abandoned Building,01/08/2011,66
Vacant/Abandoned Building,01/09/2011,25
Vacant/Abandoned Building,01/10/2011,39
Vacant/Abandoned Building,01/10/2011,46
Vacant/Abandoned Building,01/10/2011,53
Vacant/Abandoned Building,01/10/2011,63
Vacant/Abandoned Building,01/10/2011,69
Vacant/Abandoned Building,01/11/2011,24
Vacant/Abandoned Building,01/11/2011,42
Vacant/Abandoned Building,01/11/2011,49
Vacant/Abandoned Building,01/11/2011,52
Vacant/Abandoned Building,01/11/2011,61
Vacant/Abandoned Building,01/12/2011,25
Vacant/Abandoned Building,01/12/2011,52
Vacant/Abandoned Building,01/12/2011,67
Vacant/Abandoned Building,01/12/2011,68
Vacant/Abandoned Building,01/13/2011,43
Vacant/Abandoned Building,01/13/2011,45
Vacant/Abandoned Building,01/13/2011,51
Vacant/Abandoned Building,01/14/2011,16
Vacant/Abandoned Building,01/14/2011,23
Vacant/Abandoned Building,01/14/2011,23
Vacant/Abandoned Building,01/14/2011,26
Vacant/Abandoned Building,01/14/2011,43
Vacant/Abandoned Building,01/14/2011,43
Vacant/Abandoned Building,01/14/2011,46
Vacant/Abandoned Building,01/14/2011,49
Vacant/Abandoned Building,01/14/2011,49
Vacant/Abandoned Building,01/14/2011,56
Vacant/Abandoned Building,01/15/2011,61
Vacant/Abandoned Building,01/17/2011,25
Vacant/Abandoned Building,01/17/2011,25
Vacant/Abandoned Building,01/17/2011,69
Vacant/Abandoned Building,01/18/2011,23
Vacant/Abandoned Building,01/18/2011,49
Vacant/Abandoned Building,01/19/2011,14
Vacant/Abandoned Building,01/19/2011,40
Vacant/Abandoned Building,01/19/2011,70
Vacant/Abandoned Building,01/19/2011,71
Vacant/Abandoned Building,01/20/2011,26
Vacant/Abandoned Building,01/20/2011,61
Vacant/Abandoned Building,01/20/2011,66
Vacant/Abandoned Building,01/20/2011,66
Vacant/Abandoned Building,01/20/2011,66
Vacant/Abandoned Building,01/20/2011,66
Vacant/Abandoned Building,01/21/2011,43
Vacant/Abandoned Building,01/21/2011,49
Vacant/Abandoned Building,01/22/2011,71
Vacant/Abandoned Building,01/24/2011,29
Vacant/Abandoned Building,01/24/2011,40
Vacant/Abandoned Building,01/24/2011,42
Vacant/Abandoned Building,01/24/2011,44
Vacant/Abandoned Building,01/24/2011,53
Vacant/Abandoned Building,01/24/2011,66
Vacant/Abandoned Building,01/25/2011,23
Vacant/Abandoned Building,01/25/2011,42
Vacant/Abandoned Building,01/25/2011,43
Vacant/Abandoned Building,01/25/2011,67
Vacant/Abandoned Building,01/26/2011,28
Vacant/Abandoned Building,01/26/2011,28
Vacant/Abandoned Building,01/26/2011,61
Vacant/Abandoned Building,01/26/2011,67
Vacant/Abandoned Building,01/26/2011,67
Vacant/Abandoned Building,01/27/2011,53
Vacant/Abandoned Building,01/27/2011,67
Vacant/Abandoned Building,01/28/2011,43
Vacant/Abandoned Building,01/29/2011,4
Vacant/Abandoned Building,01/31/2011,23
Vacant/Abandoned Building,01/31/2011,54
Vacant/Abandoned Building,02/01/2011,26
Vacant/Abandoned Building,02/01/2011,29
Vacant/Abandoned Building,02/01/2011,45
Vacant/Abandoned Building,02/01/2011,45
Vacant/Abandoned Building,02/01/2011,61
Vacant/Abandoned Building,02/03/2011,46
Vacant/Abandoned Building,02/03/2011,46
Vacant/Abandoned Building,02/03/2011,46
Vacant/Abandoned Building,02/03/2011,49
Vacant/Abandoned Building,02/03/2011,49
Vacant/Abandoned Building,02/03/2011,53
Vacant/Abandoned Building,02/04/2011,49
Vacant/Abandoned Building,02/04/2011,67
Vacant/Abandoned Building,02/08/2011,44
Vacant/Abandoned Building,02/08/2011,48
Vacant/Abandoned Building,02/08/2011,53
Vacant/Abandoned Building,02/08/2011,53
Vacant/Abandoned Building,02/08/2011,56
Vacant/Abandoned Building,02/08/2011,61
Vacant/Abandoned Building,02/08/2011,71
Vacant/Abandoned Building,02/09/2011,25
Vacant/Abandoned Building,02/09/2011,39
Vacant/Abandoned Building,02/09/2011,53
Vacant/Abandoned Building,02/10/2011,19
Vacant/Abandoned Building,02/10/2011,25
Vacant/Abandoned Building,02/10/2011,26
Vacant/Abandoned Building,02/10/2011,26
Vacant/Abandoned Building,02/10/2011,38
Vacant/Abandoned Building,02/10/2011,42
Vacant/Abandoned Building,02/10/2011,43
Vacant/Abandoned Building,02/10/2011,66
Vacant/Abandoned Building,02/10/2011,67
Vacant/Abandoned Building,02/10/2011,69
Vacant/Abandoned Building,02/11/2011,30
Vacant/Abandoned Building,02/11/2011,46
Vacant/Abandoned Building,02/12/2011,43
Vacant/Abandoned Building,02/12/2011,69
Vacant/Abandoned Building,02/13/2011,23
Vacant/Abandoned Building,02/13/2011,67
Vacant/Abandoned Building,02/14/2011,68
Vacant/Abandoned Building,02/14/2011,69
